ID,Date,Furnace,Difference Phase 1 (Real - Target),Difference Phase 2,Difference Phase 3,Difference Phase 4,Difference Phase 5,Delay Time,Dureza,Dureza PC
1,21/08/24,1,461,-188,-155,-14,33,15,2,3
2,21/08/24,2,-127,450,190,-60,6,106,2,3
3,21/08/24,2,368,341,14,-122,-18,94,2,3
4,21/08/24,1,196,-56,-79,-91,-41,59,2,3
5,21/08/24,2,533,-105,21,-95,44,69,2,3
6,21/08/24,2,512,355,228,-55,20,68,2,3
7,21/08/24,1,2,356,118,-127,1,56,2,3
8,21/08/24,1,237,379,-99,-87,-18,62,0,3
9,21/08/24,2,351,82,187,-61,-48,94,2,3
10,21/08/24,2,139,-103,124,-26,39,100,2,1
11,21/08/24,2,160,220,-88,-42,44,66,3,3
12,21/08/24,1,363,401,-197,39,-34,56,2,3
13,21/08/24,1,135,107,187,-35,11,69,2,3
14,21/08/24,1,610,-224,-173,-108,-34,20,2,1
15,21/08/24,1,526,-32,187,16,37,63,2,1
16,21/08/24,1,210,-232,-40,-105,34,97,2,1
17,21/08/24,1,403,-202,-180,30,7,70,0,1
18,21/08/24,1,-46,185,-81,7,-17,89,0,1
19,21/08/24,1,134,-55,222,51,-49,95,0,1
20,21/08/24,1,283,372,-66,-76,-30,63,0,1
21,21/08/24,2,315,291,-206,-53,2,79,0,1
22,21/08/24,1,191,237,-252,-68,-1,12,0,1
23,21/08/24,2,-97,-80,-154,-11,-9,104,0,1
24,21/08/24,2,166,434,191,-97,-27,72,0,1
25,21/08/24,2,85,428,-117,-85,28,43,0,1
26,21/08/24,2,16,264,99,-91,41,69,3,1
27,21/08/24,2,-124,43,-45,-27,26,93,0,1
28,21/08/24,2,545,-163,-240,-84,-31,47,2,1
29,21/08/24,1,587,31,-235,-84,15,38,3,2
30,21/08/24,1,545,317,18,-107,-35,6,2,2
31,21/08/24,2,432,176,25,-106,-52,17,3,2
32,21/08/24,2,161,-218,107,-48,-6,32,3,2
33,21/08/24,1,-2,-138,-148,-67,-48,61,2,2
34,21/08/24,1,581,95,203,-88,-40,107,3,2
35,21/08/24,2,391,0,-114,-12,37,52,3,2
36,21/08/24,2,507,-14,-247,-65,41,14,3,2
37,21/08/24,2,-117,71,-188,-80,-45,19,2,2
38,21/08/24,2,145,478,216,-8,22,109,3,2
39,21/08/24,2,-130,169,228,-32,10,76,3,2
40,21/08/24,1,486,-174,30,-44,37,92,3,2
41,21/08/24,1,95,-75,186,45,-2,30,3,2
42,21/08/24,2,513,365,201,-44,1,2,3,2
43,21/08/24,2,-122,-141,106,-124,-38,38,3,2
44,21/08/24,2,427,-62,27,22,-5,6,3,2
45,21/08/24,1,21,-87,225,-62,37,56,3,2
46,21/08/24,1,476,-61,-219,-90,-3,97,3,2
47,21/08/24,2,217,-59,-83,-90,-8,18,3,2
48,21/08/24,1,153,81,-173,-65,28,87,3,2
49,21/08/24,2,158,390,10,-41,-55,57,3,2
50,21/08/24,2,230,143,-231,-115,-24,40,3,2
51,21/08/24,2,221,455,163,44,15,62,2,2
52,21/08/24,2,330,-30,-119,14,32,28,2,2
53,21/08/24,1,-52,27,190,-76,28,79,2,0
54,21/08/24,1,200,185,180,-7,25,95,2,0
55,21/08/24,1,281,256,224,9,-42,99,1,0
56,21/08/24,1,-127,-141,-61,-41,3,20,1,0
57,21/08/24,2,-28,257,177,-114,26,110,1,0
58,21/08/24,2,148,27,184,-118,39,52,1,0
59,21/08/24,1,81,-113,-66,30,-53,29,1,2
60,21/08/24,2,70,198,-97,40,19,2,1,2
61,21/08/24,1,410,-55,-48,-20,-9,78,1,2
62,21/08/24,2,107,395,85,-65,7,108,1,2
63,21/08/24,1,63,-85,210,-3,12,94,1,2
64,21/08/24,2,229,337,91,-53,-35,41,1,2
65,21/08/24,2,224,445,180,7,-37,102,1,2
66,21/08/24,2,288,437,-47,16,-22,100,1,2
67,21/08/24,2,-100,273,225,-51,-23,2,1,2
68,21/08/24,1,151,270,143,30,15,1,1,2
69,21/08/24,1,380,116,-239,46,-41,106,1,2
70,21/08/24,1,279,383,223,-90,-55,67,1,2
71,21/08/24,1,152,426,-57,-77,-36,33,1,2
72,21/08/24,1,407,-54,-183,-52,-1,17,1,2
73,21/08/24,2,11,459,-22,-121,15,109,1,2
74,21/08/24,1,71,-11,-154,-57,-54,81,2,3
75,21/08/24,1,228,-158,225,-103,-51,52,2,3
76,21/08/24,1,550,488,94,-115,-15,61,0,3
77,21/08/24,2,5,171,-16,18,-29,49,2,3
78,21/08/24,1,589,476,-105,-52,-38,34,2,3
79,21/08/24,1,515,-36,-159,50,-7,107,2,3
80,21/08/24,1,222,161,207,53,43,41,2,3
81,21/08/24,2,89,190,-123,7,-10,61,3,3
82,21/08/24,1,512,-30,-6,3,35,58,2,3
83,21/08/24,2,377,395,84,-28,26,85,0,3
84,21/08/24,1,290,48,126,-29,30,6,3,3
85,21/08/24,1,516,-156,198,-116,27,75,3,3
86,21/08/24,1,-135,91,19,-54,-26,68,3,2
87,21/08/24,2,117,331,221,-66,-32,39,1,2
88,21/08/24,1,-46,-2,-112,52,15,9,2,2
89,21/08/24,1,442,305,151,40,-21,40,1,2
90,21/08/24,2,513,-92,-52,-16,-47,21,1,2
91,21/08/24,1,259,-75,120,-5,8,71,1,2
92,21/08/24,2,150,142,212,-21,8,7,1,2
93,21/08/24,1,60,-124,56,-129,2,18,1,2
94,21/08/24,1,173,451,117,12,12,82,0,2
95,21/08/24,1,-91,174,-202,47,-31,61,2,2
96,21/08/24,2,212,199,-71,-115,12,36,3,2
97,21/08/24,1,18,63,-180,0,26,3,3,2
98,21/08/24,1,-95,44,-87,-66,5,117,1,2
99,21/08/24,1,95,-6,-150,-128,-6,95,1,2
100,21/08/24,1,437,-135,192,49,33,12,1,2
101,21/08/24,1,67,167,187,-122,42,60,1,2
102,21/08/24,1,160,131,-109,-35,24,74,1,2
103,21/08/24,2,-6,318,47,25,-46,87,1,2
104,21/08/24,1,537,380,102,-30,-31,82,1,2
105,21/08/24,1,566,360,224,-53,9,15,1,2
106,21/08/24,1,401,-58,96,51,-9,95,1,2
107,21/08/24,1,577,-106,-2,3,1,9,1,2
108,21/08/24,1,346,221,-95,-17,-8,62,1,2
109,21/08/24,1,0,-38,-207,-36,-52,28,1,2
110,21/08/24,2,55,120,-180,-126,-31,116,1,2
111,21/08/24,2,125,409,25,-109,-37,59,1,2
112,21/08/24,1,250,368,-19,-86,-19,83,1,2
113,21/08/24,1,575,138,-58,-38,-10,112,1,2
114,21/08/24,1,242,-61,-127,-18,-3,81,1,2
115,21/08/24,1,196,223,-204,7,-7,109,1,2
116,21/08/24,1,-66,-226,136,-23,37,75,1,2
117,21/08/24,1,-46,17,-25,-43,33,110,1,2
118,21/08/24,1,87,-88,-119,-46,-43,92,1,2
119,21/08/24,2,479,25,133,-10,-29,95,2,1
120,21/08/24,2,553,438,210,0,-5,75,2,2
121,21/08/24,1,570,-13,-173,54,-30,88,2,2
122,21/08/24,2,388,45,147,-70,28,21,2,1
123,21/08/24,1,129,194,-238,25,-8,55,2,1
124,21/08/24,1,91,421,129,-46,39,74,2,0
125,21/08/24,1,304,196,112,-114,0,61,2,0
126,21/08/24,2,347,283,-113,-46,-14,12,2,0
127,21/08/24,1,331,118,-166,-63,7,54,2,1
128,21/08/24,2,105,387,-244,-43,1,71,2,0
129,21/08/24,2,-113,-46,-177,-81,-28,103,2,0
130,21/08/24,2,502,-177,63,-14,-47,37,2,2
131,21/08/24,1,391,-6,63,-76,22,117,2,2
132,21/08/24,1,537,152,-32,33,-19,57,2,3
133,21/08/24,1,341,405,47,33,-12,93,2,3
134,21/08/24,1,-83,419,165,-41,-2,106,2,1
135,21/08/24,2,469,-106,212,-10,-35,26,2,1
136,21/08/24,2,505,300,71,-77,42,88,2,1
137,21/08/24,2,514,54,-185,-16,1,92,2,1
138,21/08/24,2,-19,239,33,-44,14,25,2,1
139,21/08/24,2,-62,100,-158,-112,-40,47,2,1
140,21/08/24,2,47,439,-99,-10,-44,108,1,1
141,21/08/24,1,368,319,-182,6,18,29,1,1
142,21/08/24,1,-128,453,171,-20,28,48,1,1
143,21/08/24,2,349,-6,139,12,-13,79,2,1
144,21/08/24,2,282,-208,19,-99,-44,12,2,1
145,21/08/24,2,-104,-142,-70,-46,-17,28,0,1
146,21/08/24,2,486,-89,-218,-21,-8,36,2,1
147,21/08/24,2,281,440,154,-68,-18,108,2,2
148,21/08/24,1,497,108,-161,-115,22,91,1,1
149,21/08/24,2,285,-53,9,-103,-7,45,1,2
150,21/08/24,2,272,56,-83,-86,5,74,1,2
151,21/08/24,2,-29,326,-220,-44,-20,58,1,2
152,21/08/24,2,502,486,-220,-55,-38,30,1,2
153,21/08/24,2,616,225,-19,-80,43,6,1,2
154,21/08/24,1,310,-137,173,-92,-27,89,1,2
155,21/08/24,1,494,-132,-39,-98,-17,90,1,2
156,21/08/24,1,213,375,207,-91,2,38,1,2
157,21/08/24,2,274,-199,-24,-49,31,33,1,2
158,21/08/24,2,602,-155,43,-58,-52,10,1,2
159,21/08/24,1,605,18,-47,-90,3,57,1,2
160,21/08/24,2,543,26,143,25,-29,17,1,2
161,20/08/24,1,412,199,225,-49,-40,40,1,2
162,20/08/24,1,-47,86,-167,-106,-26,18,1,2
163,20/08/24,2,244,447,167,-17,-24,34,1,2
164,20/08/24,1,-94,297,-209,50,-8,102,1,2
165,20/08/24,1,32,-11,-68,1,30,94,2,2
166,20/08/24,2,-69,181,173,-28,17,28,2,2
167,20/08/24,1,458,-68,-68,44,26,59,2,2
168,20/08/24,1,15,176,231,-74,26,118,2,2
169,20/08/24,2,553,275,-68,-87,20,29,1,2
170,20/08/24,1,-62,-45,135,20,2,47,1,2
171,20/08/24,1,472,-64,-133,-51,-55,2,1,2
172,20/08/24,1,64,405,-184,-27,2,112,1,2
173,20/08/24,2,394,279,54,-52,-10,57,1,2
174,20/08/24,1,196,228,-229,37,-8,24,1,2
175,20/08/24,1,301,39,172,-3,-49,31,1,2
176,20/08/24,1,471,55,-76,-15,33,53,1,2
177,20/08/24,2,568,-9,-227,-19,5,19,1,2
178,20/08/24,1,156,187,-165,-84,6,46,2,1
179,20/08/24,1,-62,4,160,-108,-30,104,2,1
180,20/08/24,2,199,214,-209,-106,-5,50,2,1
181,20/08/24,1,487,48,158,29,6,94,1,1
182,20/08/24,2,-118,317,-237,-78,-31,72,1,1
183,20/08/24,2,-132,-122,124,-61,-36,93,1,2
184,20/08/24,2,440,184,-248,-102,-28,21,1,2
185,20/08/24,1,400,12,184,21,-10,116,1,2
186,20/08/24,2,410,215,-92,-63,12,118,1,2
187,20/08/24,1,270,428,202,-85,-44,82,1,2
188,20/08/24,2,254,-203,173,35,-55,65,2,2
189,20/08/24,1,261,373,227,-28,25,65,2,2
190,20/08/24,1,213,-180,88,-47,-37,94,2,1
191,20/08/24,2,59,65,-111,46,-31,43,2,1
192,20/08/24,1,227,485,-219,20,-5,119,3,3
193,20/08/24,2,99,-33,53,-128,-29,17,2,1
194,20/08/24,2,451,262,-24,-25,-23,117,2,1
195,20/08/24,2,254,10,-241,-83,37,58,1,1
196,20/08/24,2,538,417,125,-29,38,43,1,1
197,20/08/24,1,-95,211,152,-3,-3,86,1,1
198,20/08/24,2,-46,-105,-39,-42,-6,55,1,1
199,20/08/24,2,-150,-149,-93,-125,15,49,1,1
200,20/08/24,1,256,137,-183,-31,19,68,1,1
201,20/08/24,1,301,201,126,22,-5,13,1,1
202,20/08/24,1,259,-146,211,-63,-36,3,1,1
203,20/08/24,1,-144,183,205,34,-13,12,1,2
204,20/08/24,1,-46,114,153,22,38,43,1,2
205,20/08/24,1,-94,232,-133,46,-46,74,1,2
206,20/08/24,1,611,294,37,-27,-4,65,1,2
207,20/08/24,2,266,232,115,-76,-16,62,1,2
208,20/08/24,1,159,451,132,-103,-21,77,1,2
209,20/08/24,1,195,-169,26,-10,40,2,1,2
210,20/08/24,2,399,-171,-215,5,36,96,1,2
211,20/08/24,2,162,120,224,34,-11,25,1,1
212,20/08/24,1,329,-103,162,-47,-1,1,1,1
213,20/08/24,2,-43,322,10,24,-43,45,1,1
214,20/08/24,1,199,-112,120,-80,-36,28,1,1
215,20/08/24,1,213,37,-31,-59,-48,50,1,1
216,20/08/24,2,191,257,-199,35,-52,42,1,1
217,20/08/24,1,611,-130,-106,-65,34,76,1,1
218,20/08/24,1,603,393,111,-17,-42,38,1,1
219,20/08/24,2,305,382,16,-84,-39,116,1,1
220,20/08/24,2,453,-164,225,-56,-3,63,1,1
221,20/08/24,2,581,152,95,-111,-41,93,1,1
222,20/08/24,2,506,415,-81,36,-30,35,1,1
223,20/08/24,2,142,-47,-74,-124,-48,18,1,1
224,20/08/24,2,293,29,-166,-91,-18,6,1,2
225,20/08/24,2,617,411,-44,50,2,50,1,3
226,20/08/24,1,473,331,230,-42,11,71,1,2
227,20/08/24,1,473,486,123,-96,8,71,1,3
228,20/08/24,2,417,292,-183,-46,36,14,1,2
229,20/08/24,2,329,-131,117,-119,-20,73,1,2
230,20/08/24,1,202,-39,-16,-45,-37,36,1,2
231,20/08/24,2,-145,389,-10,-80,31,47,2,1
232,20/08/24,1,-150,-219,216,17,-43,62,2,1
233,20/08/24,1,-38,143,-152,2,-51,11,1,1
234,20/08/24,2,558,-180,-201,25,12,34,1,1
235,20/08/24,2,216,-133,-219,-103,-22,10,1,1
236,20/08/24,2,111,42,-98,-51,-48,3,1,1
237,20/08/24,1,354,227,-48,-102,-7,63,1,1
238,20/08/24,1,-80,27,-191,14,44,57,1,1
239,20/08/24,2,389,2,215,-11,9,38,1,1
240,20/08/24,1,103,176,19,28,36,46,1,1
241,20/08/24,2,350,-19,71,-101,5,34,1,1
242,20/08/24,2,333,-111,107,6,-40,111,1,1
243,20/08/24,1,418,312,-90,-116,16,108,1,1
244,20/08/24,2,307,67,-152,-8,-21,14,2,0
245,20/08/24,1,-64,-68,160,5,26,93,1,1
246,20/08/24,1,-114,380,-165,-125,-51,73,1,1
247,20/08/24,1,-34,-105,99,7,28,46,1,1
248,20/08/24,1,100,-46,-36,-26,9,41,1,1
249,20/08/24,2,419,121,39,-114,-20,51,1,1
250,20/08/24,2,310,159,194,-1,-46,67,1,2
251,20/08/24,1,534,274,56,-35,-34,34,1,1
252,20/08/24,2,38,222,176,-29,-31,88,1,1
253,20/08/24,2,329,51,-48,-68,-43,27,1,2
254,20/08/24,2,125,59,-213,-13,41,3,1,1
255,20/08/24,2,227,387,-134,-57,-30,79,1,2
256,20/08/24,2,249,132,-203,-71,-38,2,1,1
257,20/08/24,2,319,245,92,-20,-45,50,1,2
258,20/08/24,1,563,202,-241,-118,7,107,1,1
259,20/08/24,1,351,-33,-20,13,-43,72,1,1
260,20/08/24,2,-147,-128,-201,-104,26,107,2,1
261,20/08/24,2,189,392,9,7,4,77,2,1
262,20/08/24,2,548,288,-24,40,2,102,1,1
263,20/08/24,1,265,46,212,-100,-41,100,0,1
264,20/08/24,2,78,-30,205,-69,26,16,3,1
265,20/08/24,1,-152,137,-231,-76,21,117,0,2
266,20/08/24,2,442,-62,139,-25,-9,56,3,2
267,20/08/24,2,317,148,-50,-41,7,42,3,2
268,20/08/24,2,211,142,-174,54,33,87,3,2
269,20/08/24,1,155,479,-119,-101,29,71,3,2
270,20/08/24,1,114,56,-246,-128,-45,91,3,2
271,20/08/24,1,103,-190,130,32,2,77,3,2
272,20/08/24,2,130,24,155,-74,32,112,3,2
273,20/08/24,1,336,141,41,37,-22,104,3,2
274,20/08/24,1,31,216,19,-58,18,87,3,2
275,20/08/24,1,526,-141,-75,-25,34,52,3,2
276,20/08/24,2,-86,262,58,-42,29,73,3,2
277,20/08/24,1,-85,196,-89,1,-43,60,3,2
278,20/08/24,2,199,-218,215,-75,-47,93,3,2
279,20/08/24,2,179,-14,-134,0,-23,15,3,2
280,20/08/24,2,181,94,217,-76,24,94,3,2
281,20/08/24,2,152,167,-241,5,18,14,3,1
282,20/08/24,1,180,-70,-225,-102,-15,15,3,1
283,20/08/24,1,209,7,182,-90,-40,116,3,1
284,20/08/24,2,386,160,49,-4,-29,93,3,1
285,20/08/24,2,599,50,53,-33,44,112,3,1
286,20/08/24,1,27,80,218,-24,-51,101,3,1
287,20/08/24,1,117,-212,89,-87,13,14,3,1
288,20/08/24,1,44,420,-37,20,-47,87,3,1
289,20/08/24,2,590,-115,181,-5,42,33,3,2
290,20/08/24,2,107,392,-33,-86,44,62,3,2
291,20/08/24,2,290,-185,11,47,-13,61,1,2
292,20/08/24,2,147,6,-174,7,-52,65,2,2
293,20/08/24,2,-105,79,46,-61,-8,119,1,0
294,20/08/24,1,526,-223,-68,9,16,89,1,0
295,20/08/24,2,206,41,220,-86,44,26,1,0
296,20/08/24,2,436,56,-6,-31,7,38,3,3
297,20/08/24,2,191,132,-116,-28,-10,34,3,3
298,20/08/24,1,-136,-97,-200,39,-31,87,3,3
299,20/08/24,2,-22,-145,99,9,-36,10,3,3
300,20/08/24,2,551,-136,75,-86,17,24,3,3
301,20/08/24,2,403,-140,108,-116,37,21,3,3
302,20/08/24,2,408,54,-94,43,-1,69,3,3
303,20/08/24,2,509,378,-82,35,6,29,3,3
304,20/08/24,2,1,-86,-42,-37,23,99,3,3
305,20/08/24,2,555,450,113,-89,-55,17,3,3
306,20/08/24,2,129,406,12,-68,-15,9,3,3
307,20/08/24,1,338,-145,-188,-54,-54,50,3,3
308,20/08/24,1,19,-227,-18,40,-32,57,3,3
309,20/08/24,1,-41,-81,229,25,-40,113,3,3
310,20/08/24,1,517,-135,151,-6,13,86,2,3
311,20/08/24,1,604,157,-190,11,37,22,2,3
312,20/08/24,1,20,213,97,-75,18,105,2,3
313,20/08/24,2,335,-120,106,-8,-24,32,3,3
314,20/08/24,1,-129,169,-64,29,-23,43,3,3
315,20/08/24,1,90,391,-1,-17,-3,70,3,3
316,20/08/24,1,80,-58,-103,-48,37,63,3,3
317,20/08/24,2,292,92,218,44,-54,25,3,3
318,20/08/24,1,89,-232,-19,-100,21,16,3,3
319,20/08/24,2,312,-103,-134,-73,-41,104,3,3
320,20/08/24,2,590,-166,139,-38,-31,46,3,3
321,20/08/24,1,440,-28,-21,-66,-41,37,3,3
322,20/08/24,2,453,427,71,-126,15,74,3,3
323,20/08/24,1,514,199,-133,-61,36,22,3,3
324,20/08/24,2,593,-174,-43,-69,24,39,3,3
325,20/08/24,1,328,214,143,-5,-23,93,3,3
326,20/08/24,2,231,415,95,-101,39,28,3,3
327,20/08/24,1,205,-74,-101,3,43,20,3,3
328,20/08/24,1,-151,477,-69,-6,4,47,3,3
329,20/08/24,2,168,214,14,-29,-19,41,3,1
330,20/08/24,1,357,488,79,25,-53,74,3,2
331,20/08/24,2,225,108,-76,28,-34,41,3,1
332,20/08/24,1,615,-85,138,-56,23,112,3,1
333,20/08/24,2,379,133,-201,5,-5,51,3,1
334,20/08/24,2,139,-54,180,-112,-48,13,3,3
335,20/08/24,1,55,178,-23,2,14,72,3,3
336,20/08/24,1,35,294,-18,-38,25,108,3,3
337,20/08/24,2,570,398,-136,-45,-42,39,3,3
338,20/08/24,1,573,-40,-25,-76,28,20,3,3
339,20/08/24,2,341,484,-80,-22,25,103,3,3
340,20/08/24,2,-55,-200,127,-46,-52,43,3,3
341,20/08/24,2,-37,262,33,41,-29,4,3,3
